company,gvkey
KELLY PARTNERS GRO,324817
KELSIAN GROUP LIMITED,316292
KEYCORP LTD,202906
KH FOODS LTD,203004
KIDSTON GOLD MINES LTD,101254
KINGSGATE CONSOLIDATED LTD,202929
KINGSROSE MINING LIMITED,287624
KIP MCGRATH EDUCATION CENTRE,258440
KLM GROUP LTD,235517
KORVEST LTD,203485
KRESTA HOLDINGS LTD,101702
LABYRINTH RESOURCES LIMITED,5302
LAKES BLUE ENERGY NL,203545
LASERBOND LIMITED,287890
LEGEND CORP LTD,271314
LEMARNE CORP LTD,206144
LEMVEST LTD,242771
LEND LEASE PRIMELIFE LTD,234279
LIFEHEALTHCARE GROUP LTD,316809
LIGHTING CORP LTD,252266
LINDEN & CONWAY LTD,253604
LINDSAY AUSTRALIA LTD,249501
LION NATHAN LTD,101239
LIPA PHARMACEUTICALS LTD,270811
LITTLE WORLD BEVERAGES LTD,274438
LOGICAMMS LTD - OLD,287626
LOVISA HOLDINGS LTD,318878
LUDOWICI LTD,253593
LYCOPODIUM LTD,272521
LYNAS RARE EARTHS LTD,212658
LYNCH GROUP AUSTRALIA HOLD,347108
M2 GROUP LTD,271198
MACA LTD,295795
MACARTHUR COAL LTD,249080
MACMAHON HOLDINGS LTD,101597
MACQUARIE COMM INFRASTRUCTR,254388
MACQUARIE MEDIA LTD,272793
MACQUARIE TELECOM GROUP  LTD,232122
MACRO CORP LTD,253583
MADER GROUP LTD,333913
MAGELLAN PETROLEUM AUSTRALIA,200440
MAGGIE BEER HOLDINGS LTD,271310
MAGNA PACIFIC HLDGS LTD,253581
MAGONTEC LTD,207018
MANTRA GROUP PTY LTD,317837
MATRIX COMPOSITES,293250
MAXIPARTS LIMITED,247733
MAYFIELD CHILDCARE LTD,322903
MAYNE PHARMA GROUP LTD,285235
MBD CORPORATION LTD,288054
MCCONNELL DOWELL CORP LTD,205066
MCPHERSONS LTD,100800
MEDICAL DEV INTL,259480
MEM GROUP LTD,205154
MEMTEC LTD,103307
MESBON CHINA NYLON LTD,287632
METALCORP LTD,212660
METALS EXPLORATION INC,101607
METALS X LTD,270947
METAROCK GROUP LTD,294572
METCASH LTD,223097
MIA GROUP LTD,241399
MIDWAY LTD,322987
MILLENNIUM LTD,291765
MILLENNIUM SERVICES GROUP,320750
MILNES HOLDINGS LTD,246018
MIM HOLDINGS LTD,100838
MINARA RESOURCES LTD,211524
MINCOR RESOURCES NL,253338
MINERAL COMMODITIES LTD,221216
MINERAL RESOURCES LTD,205194
MINPROC LTD,223016
MIRVAC LTD,205199
MITCHELL COMM GROUP LTD,247774
MLG OZ LIMITED,347481
MM-METAL MANUFACTURES LTD,102200
MMA OFFSHORE LTD,247757
MONADELPHOUS GROUP LTD,242795
MONASH IVF GROUP LTD,317886
MORELLA CORPORATION LIMITED,253641
MORGAN & BANKS LTD,212751
MOSAIC BRANDS LTD,253381
MOSAIC OIL NL,64252
MOTHERCARE AUSTRALIA LTD,253483
MOTORCYCLE HOLDINGS LTD,321581
MOUNT GIBSON IRON LTD,247496
MPOWER GROUP LTD,237805
MSF SUGAR LTD,253565
MULTISTACK INTL,211370
MYER HOLDINGS LTD,293130
MYOB GROUP LTD,230896
NAMOI COTTON LTD,245323
NATIONAL CAN INDUSTRIES LTD,101596
NATIONAL CONSOLIDATED LTD,100817
NATIONAL FOODS LTD,204025
NATIONAL HIRE GROUP LTD,253363
NATIONAL TELECOMS GROUP LTD,249081
NATIONAL TYRE & WH,326181
NAUTRONIX LTD,222267
NEVERFAIL SPRINGWARE LTD,231039
NEW ENERGY SOLAR,326109
NEW HOPE CORP LTD,258444
NEWCREST MINING LTD,103084
NEWHAVEN HOTELS LTD,242737
NICK SCALI LTD,270845
NICKEL INDUSTRIES LIMITED,327791
NINE ENTERTAINMENT CO HLDGS,314884
NIUMINCO GROUP LTD,248799
NORFOLK GROUP LTD,285464
NORMANDY MINING LTD,104398
NORMANDY NFM LTD,101598
NORTH LTD,19126
NORTH QUEENSLAND METALS,282019
NOUMI LIMITED,249513
NOVARISE RENEW RSCS INTL,294518
NOVUS PETROLEUM LTD,211371
NRW HOLDINGS LTD,286001
NTHN STAR RES LTD,259625
NUFARM LTD,101613
NYLEX LTD,201683
OAKS HOTELS & RESORTS LTD,275011
OAKTON LTD,246021
OAMPS LTD,246022
OBJECTIVE CORP LTD,243008
OCEAN CAPITAL LTD,248828
OIL COMPANY OF AUSTRALIA LTD,211372
ONEALL INTERNATIONAL LTD,320822
ONTERRAN LTD,279628
ONTHEHOUSE HOLDINGS LTD,297999
OOH MEDIA LTD,318874
OPEN TELECOMMUNICATIONS LTD,241500
OPSM GROUP LTD,100852
OPUS GROUP LTD,312175
ORBITAL CORP LTD,19731
ORCODA LTD,200972
ORICA LTD,100442
ORIGIN ENERGY LTD,17525
ORION TELECOMMUNICATIONS LTD,271322
ORORA LTD,316825
OROTON GROUP LTD,208674
OVATO LTD,104960
OVER THE WIRE HOLDINGS LTD,320824
OZ MINERALS LIMITED,214050
PACIFIC BRANDS LTD,270179
PACIFIC ENERGY LTD,253443
PACIFIC HYDRO LTD,207302
PACIFIC SMILES GROUP LTD,318702
PACIFICA GROUP LTD,208669
PACT GROUP HLDGS LTD,316907
PAN ASIA CORP LTD,149382
PAN PACIFIC PETROLEUM NL,220239
PAN PHARMACEUTICALS LTD,241402
PANAUST LTD,205896
PANORAMIC RESOURCES LTD,253611
PARAGON CARE LTD,253511
PARBURY LTD,101649
PAS GROUP(THE),317650
PASMINCO LTD,103332
PATRICK CORP LTD,203557
PATTIES FOODS LTD,281444
PCH GROUP LTD,253490
PEARLSTREET LTD,282846
PENTAL LTD,244820
PEOPLEBANK AUSTRALIA LTD,273157
PEOPLEIN LIMITED,325823
PEPPERCORN MANAGEMENT GRP,254390
PERENTI LTD,210805
PERILYA LTD,210605
PERSERVERANCE CORP,212665
PETALUMA LTD,207303
PETER LEHMANN WINES LTD,242751
PETSEC ENERGY LTD,208467
PIONEER INTERNATIONAL LTD,19271
PIPE NETWORKS LTD,272962
PIRELLI CABLES AUSTRALIA LTD,210695
PLACER PACIFIC LTD,103085
PLANET PLATINUM LTD,256478
PLUTONIC RESOURCES LTD,104570
POLYMETALS MINING LTD,297393
PORTMAN LTD,208550
POWERTEL LTD,212433
PPK GROUP LTD,252270
PREMIER INVESTMENTS LTD,220243
PRIMAC HOLDINGS LTD,212638
PRIME INFRASTRUCTURE GROUP,254120
PRIME RETIREMENT & AGE CARE,285643
PRO MEDICUS LTD,242333
PRO-PAC PACKAGING LTD,272828
PROBIOTEC LIMITED,281519
PROGEN PHARMACEUTICALS LTD,212639
PROGRAMMED MAINTENANCE SVC,242338
PROMENTUM LTD,253493
PROPEL FUNERAL PAR,326013
PROPHECY INTL HLDS LTD,242770
PRT COMPANY LIMITED,208584
PSC INSURANCE GROUP LTD,320982
PULSE HEALTH LTD,259190
PWR HOLDINGS LTD,320726
QANTAS AIRWAYS LTD,220244
QANTM INTELLECTUAL PROPERTY,322160
QCT RESOURCES LTD,102398
QM TECHNOLOGIES LTD,274496
QMASTOR LTD,253536
QMS MEDIA LTD,319928
QNI LTD,31473
QUBE HOLDINGS LTD,282382
QUEENSLAND COTTON HOLDINGS,201726
QUESTE COMMUNICATIONS LTD,253544
QUF INDUSTRIES LTD,101600
QUINTIS LTD,272268
RAMELIUS RESOURCES LTD,256406
RAMSAY HEALTH CARE LTD,226744
RAND MINING LTD,253550
RANGER MINERALS NL,207051
RCR TOMLINSON LTD,249509
REA GROUP LTD,248015
REBEL SPORT LTD,207304
RECKON LTD,234811
REDBANK ENERGY LTD,281763
REDCAPE HOTEL GROUP PTY LTD,329643
REDFLEX HOLDINGS LTD,241878
REDHILL EDUCATION LTD,295430
REECE LTD,101605
REEF CASINO TRUST,206145
REGIONAL EXPRESS HLDGS LTD,274429
REGIS HEALTHCARE LTD,318480
REGIS RESOURCES LTD,211367
REJECT SHOP LTD,270418
RELIANCE WORLDWIDE CORP LTD,321584
REPCO CORP,259185
RESA GROUP LTD,275352
RESOLUTE MINING LTD,207221
RESOURCE EQUIPMENT LTD,252823
RETAIL FOOD GROUP LTD,278186
REVERSE CORP LTD,274854
RFM POULTRY,324054
RGC-RENISON GOLDFIELDS CONSO,100844
RHIPE LTD,272602
RICEGROWERS LTD,322141
RIDLEY CORP LTD,207103
RINKER GROUP LTD,255798
RISION LTD,254392
RIVERCITY MOTORWAY MGMT,278575
ROBERTS LTD,253594
ROC OIL CO LTD,235179
ROCKLANDS RICHFIELD PCI LTD,248132
ROSS HUMAN DIRECTIONS LTD,246013
ROSS MINING NL,207151
ROYAL WOLF HOLDINGS LTD,297971
ROYALCO RESOURCES LTD,278222
RP DATA LTD,246026
RPMGLOBAL HOLDINGS LTD,288922
RUBIK FINANCIAL LTD,246030
RURAL PRESS LTD,207175
RURALCO HOLDINGS LTD,253595
RXP SERVICES LTD,309394
S8 LTD,253598
SAFEROADS HOLDINGS LTD,274847
SAI GLOBAL LTD,260404
SALMAT LTD,254542
SANDFIRE RESOURCES LTD,260564
SANTOS LTD,100165
SAUNDERS INTL LTD,287580
SAVAGE RESOURCES LTD,208829
SCANTECH LTD,212431
SCHAFFER CORP,211585
SCHROLE GROUP LTD,316609
SCOTT CORP,253533
SDI LTD,249510
SDS CORPORATION LTD,242809
SEDGMAN LIMITED,277977
SEEK LTD,272775
SELECT HARVESTS LTD,211572
SENETAS CORP,209221
SERVCORP LTD,241412
SERVICE STREAM LTD,271534
SEVEN GROUP HLDS LTD,208326
SEVEN WEST MEDIA LTD,105117
SEYMOUR WHYTE LTD,294707
SG FLEET GROUP LTD,317261
SHAVER SHOP GROUP LTD,321868
SHEARER JOHN HOLDINGS LTD,249511
SHINE JUSTICE LTD,315360
SHINE METALS LTD,212605
SIDDONS RAMSET LTD,101604
SIGMA CO LTD,242353
SIGMA HEALTHCARE LTD,254380
SILEX SYSTEMS LTD,231316
SILK LASER AUSTRALIA LIMITED,345667
SIMEON WINES LTD,234817
SIMONDS GROUP LTD,318694
SIMS LTD,208079
SIRIUS RESOURCES NL,211570
SIRTEX MEDICAL LTD,246027
SIV CAPITAL LTD,273070
SKILLED GROUP LTD,206156
SKYWEST LTD,271337
SLATER & GORDON LTD,284683
SMARTGROUP CORPORATION LTD,317925
SMORGON STEEL GROUP LTD,229017
SMS MANAGEMENT & TECHNOLOGY,221021
SNACK FOODS LTD,242357
SOLUTION 6 HOLDINGS LTD,212642
SONIC HEALTHCARE LTD,207097
SONNET CORPORATION LTD,253560
SONS OF GWALIA LTD,101245
SOUTH32 LTD,319687
SOUTHCORP LTD,100859
SOUTHERN CROSS ELEC ENGR,287431
SOUTHERN CROSS MEDIA GROUP,274512
SOUTHERN GOLD LTD,272802
SOUTHERN STAR GROUP LTD,213241
SOUTHN CROSS BROADCASTING,211375
SPACETALK LTD,253427
SPARK INFR GROUP,274856
SPC ARDMONA LTD,212643
SPEEDCAST INTERNATIONAL LTD,318194
SPHERE MINERALS LTD,200091
SPICERS LTD,236137
SPICERS PAPER LTD,208212
SPORTS ENTERTAINMENT GRP LTD,248808
SPOTLESS GROUP LTD,208215
SPOTLESS SERVICES LTD,203631
SRG GLOBAL LTD,247872
ST BARBARA LTD,101513
STADIUM AUSTRALIA GROUP,242675
STAGING CONNECTIONS GP LTD,237781
STANMORE RESOURCES LTD,293528
STAR CITY HOLDINGS LTD,207115
STEADFAST GROUP LTD,315882
STEMCELL UNITED LTD,247537
STERIHEALTH LTD,253464
STRATHFIELD GROUP LTD,241905
STUART METALS NL,212434
SUGAR TERMINALS LTD,322452
SUNDOWNER GROUP,249514
SUNRAYSIA TELEVISION LTD,203742
SUPER RETAIL GROUP LTD,270502
SUPERIOR RESOURCES LTD,287251
SUPPLY NETWORK LTD,253359
SYDNEY AIRPORT,252268
SYDNEY ATTRACTIONS LTD,210971
SYMBIO HOLDINGS LTD,277814
SYMBION HEALTH LTD,18934
TAB LTD,218981
TABCORP HOLDINGS LTD,222202
TALENT2 INTERNATIONAL LTD,248824
TAMAWOOD LTD,249516
TANDOU LTD,234963
TAP OIL LTD,213448
TASSAL GROUP,259076
TASSAL LTD,203887
TATTS GROUP LTD,273384
TDG LOGISTICS LTD,242992
TECHNOLOGY ONE LTD,241419
TELECASTERS AUSTRALIA LTD,101707
TELSTRA GROUP LIMITED,210216
TEMPO SERVICES LTD,212648
TEN NETWORK HOLDINGS LTD,101709
TEN SIXTY FOUR LIMITED,259622
TEXT MEDIA GROUP LTD,247761
THAKRAL HLDGS LTD,210880
THE CITADEL GROUP LTD,318669
THE MAC SERVICES GROUP LTD,284307
THE STAR ENTERTAINMENT GROUP,297921
THINK CHILDCARE LTD,318504
THO SERVICES LTD,248818
THORN GROUP LTD,281811
TICOR LTD,205197
TIMBERCORP LTD,242538
TITANIUM SANDS LTD,213644
TOLL HOLDINGS LTD,209128
TOP EDUCATION GRP,327173
TOURISM ASSET HLDGS LTD,212649
TOX FREE SOLUTIONS LTD,253404
TOYS'R'US ANZ LTD,247829
TPC CONSOLIDATED LTD,285372
TPG CORPORATION LTD,253468
TRADITIONAL THERAPY CLINICS,320304
TRAFFIC TECHNOLOGIES LTD,272259
TRANSMETRO CORP LTD,253647
TRANSONIC TRAVEL LTD,270240
TRANSURBAN GROUP,212650
TREASURY WINE ESTATES LTD,297352
TRIAKO RESOURCES,253389
TRIANGLE ENERGY (GLOBAL) LTD,275101
TRIBECA LEARNING LTD,253387
TRIBUNE RESOURCES LTD,253385
TROY RESOURCES LTD,214644
TTA HOLDINGS LTD,275475
TUTT BRYANT GROUP LTD,274848
UCMS GROUP LTD,285122
UECOMM LTD,241001
UGL LTD,212651
UNITAB LTD,232456
UNITED ENERGY LTD,222764
UNITED MALT GRP LTD,337815
UNITY MINING LTD,200694
UNIVERSAL STORE HOLDINGS LTD,344059
UTILITY SERVICES CORP LTD,212646
UXC LTD,234778
VDM GROUP LTD,275465
VECOMMERCE LTD,244821
VEDA ADVANTAGE LTD,226137
VEDA GROUP LTD,316808
VEEM LTD,322612
VENTIA SERVICES GROUP LTD,351070
VENTRACOR LTD,242790
VERIS LTD,289302
VIDELLI LTD,202057
VIETNAM INDUSTRIAL INVTS LTD,249519
VIKING INDUSTRIES,210919
VILLA WORLD LTD (OLD),209422
VILLAGE ROADSHOW LTD,209423
VIRGIN AUSTRALIA HLDGS LTD,259440
VIRIDIS CLEAN ENERGY,274021
VIRTUS HEALTH LTD,315488
VISION EYE INSTITUTE LTD,271536
VISION SYSTEMS LTD,209428
VITA GROUP LIMITED,274457
VITA LIFE SCIENCES LTD,247302
VIVA ENERGY GROUP,327665
VOCUS GROUP LTD,256538
VOLANTE GROUP LTD,242593
VOXSON LTD,242591
WAGNERS HOLDING CO,326138
WAKENBY LTD,285883
WAMEJA LTD,246007
WARRNAMBOOL CHEESE & BUTTER,270869
WATERCO LTD,253370
WATPAC LTD,247488
WATTYL LTD,101661
WD & HO WILLS HOLDINGS LTD,105120
WDS LIMITED,281748
WEBCENTRAL GROUP LTD,234498
WEBCENTRAL GROUP LTD,211534
WEBJET LTD,253367
WESFARMERS LTD,101601
WESFI LTD,209501
WESTERN AREAS LTD,253358
WESTERN AUST DIAMOND TRUST,209490
WESTERN METALS COPPER LTD,100842
WHITEHAVEN COAL LTD,284808
WILLMOTT FORESTS LTD,253349
WINGARA AG LIMITED,247593
WINHA COMMERCE & TRADE INTL,323228
WISETECH GLOBAL LTD,321501
WISR LTD,248144
WOODSIDE ENERGY GROUP LTD,100712
WOOLWORTHS GROUP LTD,100894
WORLEY LTD,254665
WOTIF.COM HOLDINGS LTD,277907
WPP AUNZ LTD,201728
WRIDGWAYS AUSTRALIA LTD,247506
XENITH IP GROUP LTD,320734
XRF SCIENTIFIC LTD,281520
XTEK LTD,274028
YANCOAL AUSTRALIA LTD,313077
ZENYTH THERAPEUTICS,213498
ZICOM GROUP LTD,253327
